entry_uuid,legend_bullet_src,entry_date,entry_text,entry_links,scrape_timestamp
51a82da3-95d8-4626-b8a9-bd9ba178db65,"['https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3509/1521729073/original/bullet.png?1521729073', 'https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3515/1522176563/public/bulletlightblue.png?1522176563']","July 17, 2019","  – July 17, 2019 – At a rally in North Carolina, Trump ridiculed U.S. Representative Alexandria Ocasio-Cortez’s name. “No, no,” he said. “I don’t have time to go with three different names. We’ll call her Cortez.” Trump had made racist remarks about Ocasio-Cortez in the past. During the same rally, he criticized Representative Ilhan Omar and let the crowd chant “send her back” for thirteen seconds before continuing his speech.  ","['https://www.presidency.ucsb.edu/documents/remarks-keep-america-great-rally-greenville-north-carolina', 'https://twitter.com/realDonaldTrump/status/1150381394234941448', 'https://twitter.com/passantino/status/1151639762085863424']",2020-11-06 05:56:35.609236
dfc79870-88d4-4287-bd43-77f97e17fdb6,"['https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3515/1522176563/public/bulletlightblue.png?1522176563', 'https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3517/1522176690/public/bulletyellow.png?1522176690']","July 29, 2018","   – July 29, 2018 – Donald Trump raised the possibility of a government shutdown over the Wall, tweeting, “I would be willing to “shut down” government if the Democrats do not give us the votes for Border Security, which includes the Wall! Must get rid of Lottery, Catch & Release etc. and finally go to system of Immigration based on MERIT! We need great people coming into our Country!”",['https://twitter.com/realDonaldTrump/status/1023557246628900864?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1023557246628900864%7Ctwgr%5E383231323b626f6c6465725f6e6577735f616374696f6e&ref_url=https%3A%2F%2Fwww.vox.com%2F2018%2F8%2F24%2F17778020%2Fsenate-border-wall-spending-bill-mitch-mcconnell-donald-trump'],2020-11-06 05:56:35.609872
a83c57f6-3997-4c99-bbef-60be047dbb7e,['https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3520/1522176863/public/bulletdarkpurple.png?1522176863'],"January 1, 2018"," – January 1, 2018 – Representative Devin Nunes sent a letter to Deputy Attorney General Rod Rosenstein indicating that the House Intelligence Committee would be expanding its investigation to include the Justice Department’s handling of the Russia investigation. Nunes’s announcement included a request for access to the documents of the ongoing investigation. This statement arrived about one month before the release of the infamous Nunes Memo, and was likely a precursor to its release.","['https://www.washingtontimes.com/news/2018/jan/1/devin-nunes-expands-russia-probe-use-Trump-dossier/', 'https://intelligence.house.gov/news/documentsingle.aspx?DocumentID=843']",2020-11-06 05:56:35.610416
3b66eb08-8e89-4703-aa2e-1ce281e9a69c,['https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3515/1522176563/public/bulletlightblue.png?1522176563'],"October 5, 2020","  – October 5, 2020 – Trump’s doctor said he “may not be entirely out of the woods yet,” but the president chose to leave the hospital to return to the White House. “Don’t be afraid of COVID,” he said of the virus that has claimed the lives of more than 209,000 Americans. “Don’t let it dominate your life.” Arriving at the White House, Trump climbed stairs to a balcony and made a point of pulling off his mask for a photo-op. He then entered the White House, endangering the lives of the hundreds of people who work there.",['https://www.washingtonpost.com/elections/2020/10/05/trump-biden-live-updates/'],2020-11-06 05:56:35.610735
c7b5e36e-7031-41a2-b793-b1bb3225d733,['https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3520/1522176863/public/bulletdarkpurple.png?1522176863'],"July 30, 2020"," – July 30, 2020 – Herman Cain, who ran in the Republican presidential primary in 2012, died from COVID-19 complications. The chairman of Black Voices for Trump, Cain attended Trump’s June 20 campaign rally in Tulsa, where he was seen not social distancing nor wearing a mask.",['https://www.washingtonpost.com/politics/herman-cain-former-republican-presidential-hopeful-has-died-of-the-coronavirus-statement-on-his-website-says/2020/07/30/4ac62a10-d273-11ea-9038-af089b63ac21_story.html'],2020-11-06 05:56:35.611051
76f3658d-8655-4310-b052-0eb8c3995fa6,"['https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3518/1522176758/public/bulletorange.png?1522176758', 'https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3520/1522176863/public/bulletdarkpurple.png?1522176863']","December 4, 2019","  – December 4, 2019 – The Trump administration proposed new work requirements that could prevent almost 700,000 adults from receiving Supplemental Nutrition Assistance Program benefits. In defending the cuts, U.S. Agriculture Secretary Sonny Perdue said, “We need to encourage people by giving them a helping hand, but not allowing it to become an infinitely giving hand.”",['https://www.usda.gov/media/press-releases/2019/12/04/usda-restores-original-intent-snap-second-chance-not-way-life'],2020-11-06 05:56:35.611518
dbbdc478-4415-4d05-9532-fbc30a473ee1,['https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3517/1522176690/public/bulletyellow.png?1522176690'],"May 18, 2017"," – May 18, 2017 – Calling the Russia investigation a “witch hunt,” Donald Trump denied former FBI Director James Comey’s claim that Trump had asked Comey to end the investigation. Trump asserted, “There is no collusion between certainly myself and my campaign.” ",['http://www.cnn.com/2017/05/18/politics/trump-special-counsel/index.html'],2020-11-06 05:56:35.611835
5cf21c5c-a761-487c-a106-86ef3a522aff,['https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3516/1522176628/public/bulletgreen.png?1522176628'],"October 22, 2017"," – October 22, 2017 – The EPA  canceled speaking engagements for three agency scientists who had been scheduled to present findings on the effects of climate change. An agency spokesperson offered no explanation for the abrupt cancellation. ",['https://www.nytimes.com/2017/10/22/climate/epa-scientists.html'],2020-11-06 05:56:35.612149
a56b16bf-b74a-4023-9b17-9cfde83772af,['https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3515/1522176563/public/bulletlightblue.png?1522176563'],"May 17, 2017"," – May 17, 2017 – Speaking to graduating cadets of the U.S. Coast Guard, Donald Trump said about himself , “No politician—and I say this with great surety—has been treated worse or more unfairly.”",['https://www.politico.com/story/2017/05/17/donald-trump-coast-guard-gradution-unfairly-treated-president-238505'],2020-11-06 05:56:35.612419
c1634131-3c98-429e-9a58-3a7023e03b3a,['https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3515/1522176563/public/bulletlightblue.png?1522176563'],"February 14, 2017"," – February 14, 2017 – In the wake of Michael Flynn’s resignation for lying to senior officials and interacting with Russian representatives after the election, Donald Trump tweeted, “The real story here is why are there so many illegal leaks coming out of Washington? Will these leaks be happening as I deal with N.Korea etc?” ",['https://twitter.com/realDonaldTrump/status/831510532318429184'],2020-11-06 05:56:35.612692
df04c7eb-fff4-4dd0-9c5e-70a4c7a39096,['https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3515/1522176563/public/bulletlightblue.png?1522176563'],"August 2, 2017"," – August 2, 2017 – Press Secretary Sarah Huckabee Sanders admitted during her daily press briefing that the Boy Scouts of America never called the president to say his speech to their organization was the “greatest speech ever made to them.” This is contrary to claims Donald Trump had made to the Wall Street Journal. ","['https://www.nytimes.com/2017/08/02/us/politics/those-calls-to-trump-white-house-admits-they-didnt-happen.html', 'https://www.politico.com/story/2017/08/01/trump-wall-street-journal-interview-full-transcript-241214']",2020-11-06 05:56:35.613005
0093f0d3-5476-49ba-8f22-9d3a04763e01,"['https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3516/1522176628/public/bulletgreen.png?1522176628', 'https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3515/1522176563/public/bulletlightblue.png?1522176563']","December 12, 2019","  – December 12, 2019 – In response to TIME naming 16-year-old climate activist Greta Thunberg person of the year, Trump tweeted: “So ridiculous. Greta must work on her Anger Management problem, then go to a good old fashioned movie with a friend! Chill Greta, Chill!”","['https://time.com/person-of-the-year-2019-greta-thunberg/', 'https://twitter.com/realDonaldTrump/status/1205100602025545730']",2020-11-06 05:56:35.613430
8afe546b-415f-4629-8999-c047031f5c82,['https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3519/1522176814/public/bulletpink.png?1522176814'],"October 10, 2020"," – October 10, 2020 – When running for president, Trump said he would “completely isolate” himself from the Trump Organization. But a New York Times investigation found that as president, Trump has been involved in scores of events at his properties. In the first two years of his presidency, they delivered roughly $12 million of business to his company.",['https://www.nytimes.com/interactive/2020/10/10/us/trump-properties-swamp.html'],2020-11-06 05:56:35.613740
76d3d1bf-c2db-45e9-b101-e17c7103d847,['https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3512/1521729445/original/bulletred.png?1521729445'],"October 21, 2016"," – October 21, 2016 – Karen Virginia accused Donald Trump of groping her. Virginia described how she’d seen Trump with a group of men at the U.S. Open in 1998, and overheard him say about her “Hey look at this one!” and “Look at those legs.” After his comments, Trump approached Virginia, grabbed her by the right arm, and touched her breast. The incident lingered with Virginia for years, and she came forward with her story alongside Gloria Allred: “I now understand that I was not to blame. Mr. Trump, perhaps you do not remember me or what you did to me so many years ago, but I can assure you that I remember you and what you did to me as though it was yesterday,"" she said. ""Your random moment of sexual pleasure came at my expense and affected me greatly.” ","['https://www.nbcnews.com/news/us-news/karena-virginia-becomes-tenth-woman-accuse-trump-sexual-misconduct-n670146', 'http://time.com/4538729/donald-trump-accuser-karena-virginia/']",2020-11-06 05:56:35.614061
f29f98eb-bdec-4699-9752-64587f25470b,"['https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3520/1522176863/public/bulletdarkpurple.png?1522176863', 'https://d3thpuk46eyjbu.cloudfront.net/uploads/production/3517/1522176690/public/bulletyellow.png?1522176690']","August 29, 2020","  – August 29, 2020 – National Intelligence Director John Ratcliffe told Congress that his office will stop briefing lawmakers about election security. Trump defended the decision by saying that Ratcliffe “got tired” of intelligence leaking from members of Congress. The decision was made just 10 weeks before the presidential election.",['https://www.nytimes.com/2020/08/29/us/politics/election-security-intelligence-briefings-congress.html'],2020-11-06 05:56:35.614473
