entry_uuid,categories,entry_date,entry_date_dt,entry_text_split,scrape_timestamp
7ea3b72f-103d-4d42-9c22-9977a33dbf5f,"['White Supremacy, Racism, Homophobia, Transphobia, & Xenophobia', 'Public Statements / Tweets']","September 29, 2020",2020-09-29 00:00:00,"In their first presidential debate, Trump interrupted Biden almost every time the Democratic candidate spoke, prompting debate moderator Chris Wallace to plead with the president to be quiet. When Biden asked Trump if he would be willing to condemn the Proud Boys, a group of white supremacists who endorse violence, the president refused. Instead, he called on them to “Stand back and stand by.” Trump also ridiculed Biden for wearing what he called “the biggest mask I’ve ever seen.”",2020-11-05 02:35:36.657253
e07c4e04-58d5-4d4a-ba8e-05d71b6ce394,['Policy'],"February 2, 2017",2017-02-02 00:00:00,"Donald Trump vowed to dismantle the Johnson Amendment, a law which restricted churches and other religious institutions from taking a public political stance while retaining tax-exempt status. When following through on his promised repeal proved legislatively difficult, Trump signed an executive order encouraging leniency on enforcement of the amendment.",2020-11-05 02:35:36.657581
1dc6d3c7-8370-41fd-8793-b533f764097b,['Public Statements / Tweets'],"January 22, 2017",2017-01-22 00:00:00,"Donald Trump refused to release his tax returns to the public, both during the campaign and after his election. He is the first president in over 40 years to withhold his financial information from the American public. Upon Trump’s election, senior counselor Kellyanne Conway explained his refusal, saying, “The White House response is that he’s not going to release his tax returns… we litigated this all through the election. People didn’t care. They voted for him.” Donald Trump and his administration have justified his decision to break with historic precedent and keep his financial information from public scrutiny by saying that Trump is under a “routine audit” from the Internal Revenue Service. Officials from the IRS have clarified that an audit does not restrict a citizen from revealing their tax information.",2020-11-05 02:35:36.657999
c024c51d-4420-403a-be0c-2ea3c48458d4,['Policy'],"January 9, 2020",2020-01-09 00:00:00,An appeals court allowed Trump to divert $3.6 billion from Defense spending to the construction of his border wall. Declaring a national emergency along the southern border in February 2019 allowed Trump to have the money reallocated.,2020-11-05 02:35:36.658288
8086ba8b-28df-433c-adfb-80aab8ce3cf6,"['White Supremacy, Racism, Homophobia, Transphobia, & Xenophobia', 'Policy']","November 6, 2018",2018-11-06 00:00:00,"A class-action lawsuit challenged the government’s detentions of migrants, including children kept in cages. Under Trump, more migrant children have been in government custody than at any time in American history.",2020-11-05 02:35:36.658721
25957d81-fe15-458e-803c-8a557c861308,['Public Statements / Tweets'],"May 27, 2020",2020-05-27 00:00:00,"Twitter added a fact-check label to two of Trump’s tweets that claimed that mail-in ballots were fraudulent. In response, he threatened to shut down his favored social media platform on which he’d issued more than 50,000 tweets. “Republicans feel that Social Media Platforms totally silence conservatives voices,” he wrote on the very site that he said was silencing him.",2020-11-05 02:35:36.659077
b9c2a185-5e51-4de4-8464-3ff5ab938fbb,"['Policy', 'White Supremacy, Racism, Homophobia, Transphobia, & Xenophobia']","July 6, 2020",2020-07-06 00:00:00,"International students enrolled in online classes in the fall — due to the pandemic — would have to leave the United States, Immigration and Customs Enforcement announced. ICE said that foreign students who do not take any in-person courses could risk “immigration consequences including, but not limited to, the initiation of removal proceedings.”",2020-11-05 02:35:36.659415
4647f39f-fd83-4249-aced-7d092e7f669d,"['Sexual Misconduct, Harassment, & Bullying']","October 12, 2016",2016-10-12 00:00:00,"Jessica Leeds alleged Donald Trump made inappropriate sexual advances towards her. Over 30 years ago Leeds sat next to Trump on a plane, where he lifted the armrest, grabbed her breasts, and put his hand up her skirt. She described him as an “octopus,” saying, “his hands were everywhere.”",2020-11-05 02:35:36.659679
f03f74a9-ca90-4dd9-9ea6-0f892fd53c12,['Public Statements / Tweets'],"October 19, 2020",2020-10-19 00:00:00,"Trump called Anthony Fauci, the nation’s top infectious disease expert, “a disaster.” In a call with his campaign staff, the president said, “People are tired of hearing Fauci and all these idiots.” He implied that hundreds of thousands more people would have died if they relied on Fauci’s advice. At a rally in Arizona, Trump accused the media of focusing too much on the pandemic. “You turn on CNN. That’s all they cover. Covid, covid, pandemic. Covid, covid, covid. … They’re trying to talk people out of voting. People aren’t buying it, CNN, you dumb bastards.” To date, the pandemic has killed more than 219,000 Americans.",2020-11-05 02:35:36.660008
05f37e5d-6e48-4294-9346-ad1be2914716,['Collusion with Russia & Obstruction of Justice'],"January 12, 2019",2019-01-12 00:00:00,"Trump met with Russian President Vladimir Putin five times over the course of two years, but no detailed record of the conversations exist — even in classified files. The Washington Post reported that Trump went to “extraordinary lengths” to conceal what the two leaders discussed.",2020-11-05 02:35:36.660288
